Title,US_Gross,Worldwide_Gross,Production_Budget,Release_Date,MPAA_Rating,Distributor,Source,Major_Genre,Creative_Type,Director,Rotten_Tomatoes_Rating,IMDB_Rating,IMDB_Votes,Normalized_Release_Date
Friday After Next,33253609,33526835,10000000,22-Nov-02,R,New Line,Original Screenplay,Comedy,Contemporary Fiction,,25,5.3,6742,22-11-2002
Friday Night Lights,61255921,61950770,30000000,8-Oct-04,PG-13,Universal,Based on Book/Short Story,Drama,Contemporary Fiction,Peter Berg,81,7.2,20868,08-10-2004
Friday the 13th,39754601,59754601,550000,9-May-80,,Paramount Pictures,,Horror,,,60,5.6,26798,09-05-1980
Friday the 13th Part 2,21722776,21722776,1250000,30-Apr-81,,,,Horror,,Steve Miner,33,5.5,13395,30-04-1981
Friday the 13th Part 3,36690067,36690067,2250000,13-Aug-82,,Paramount Pictures,,Horror,Contemporary Fiction,Steve Miner,14,5.5,13395,13-08-1982
Friday the 13th Part IV: The Final Chapter,32980880,32980880,2600000,13-Apr-84,,Paramount Pictures,,Horror,Fantasy,,0,0.0,0,13-04-1984
Friday the 13th Part V: A New Beginning,21930418,21930418,2200000,22-Mar-85,,Paramount Pictures,,Horror,Contemporary Fiction,,0,0.0,0,22-03-1985
Friday the 13th Part VI: Jason Lives,19472057,19472057,3000000,1-Aug-86,,Paramount Pictures,,Horror,Fantasy,,0,0.0,0,01-08-1986
Friday the 13th Part VII: The New Blood,19170001,19170001,2800000,13-May-88,,Paramount Pictures,,Horror,Fantasy,,0,4.6,8916,13-05-1988
Friday the 13th Part VIII: Jason Takes Manhattan,14343976,14343976,5000000,28-Jul-89,,Paramount Pictures,,Horror,Fantasy,,0,3.9,10113,28-07-1989
Friends with Money,13368437,15328368,6500000,7-Apr-06,R,Sony Pictures Classics,Original Screenplay,Comedy,Contemporary Fiction,,71,6.1,11087,07-04-2006
From Dusk Till Dawn,25728961,25728961,20000000,19-Jan-96,R,Miramax/Dimension,Original Screenplay,Horror,Fantasy,Robert Rodriguez,63,7.1,80234,19-01-1996
From Hell,31598308,31598308,35000000,19-Oct-01,R,20th Century Fox,Based on Comic/Graphic Novel,Thriller/Suspense,Historical Fiction,Albert Hughes,57,6.8,53477,19-10-2001
From Here to Eternity,30500000,30500000,1650000,5-Aug-53,,,,,,Fred Zinnemann,86,7.9,15115,05-08-1953
From Justin to Kelly,4922166,4922166,12000000,20-Jun-03,PG,20th Century Fox,Based on TV,Musical,Contemporary Fiction,,8,1.6,17596,20-06-2003
From Russia With Love,24800000,78900000,2000000,8-Apr-64,,MGM,Based on Book/Short Story,Action,,,0,7.5,32541,08-04-1964
Frost/Nixon,18622031,28144586,29000000,5-Dec-08,R,Universal,Based on Play,Drama,Dramatization,Ron Howard,92,7.9,36366,05-12-2008
Frozen River,2503902,5281776,1000000,1-Aug-08,R,Sony Pictures Classics,Original Screenplay,Drama,Contemporary Fiction,,87,7.2,10447,01-08-2008
Full Frontal,2512846,3438804,2000000,2-Aug-02,R,Miramax,Original Screenplay,Comedy,Contemporary Fiction,Steven Soderbergh,37,4.8,6660,02-08-2002
Fun With Dick And Jane,110550000,202250000,140000000,21-Dec-05,PG-13,Sony Pictures,Remake,Comedy,Contemporary Fiction,,29,6.3,1788,21-12-2005
Funny Ha Ha,77070,77070,30000,29-Apr-05,Not Rated,Goodbye Cruel Releasing,Original Screenplay,Comedy,,,0,6.1,1138,29-04-2005
Funny People,51855045,71880305,70000000,31-Jul-09,R,Universal,Original Screenplay,Comedy,Contemporary Fiction,Judd Apatow,67,6.8,37791,31-07-2009
Fur,223202,2281089,16800000,10-Nov-06,R,Picturehouse,Based on Book/Short Story,Drama,Dramatization,,0,0.0,0,10-11-2006
Furry Vengeance,17630465,21630465,35000000,30-Apr-10,PG,Summit Entertainment,Original Screenplay,Comedy,Kids Fiction,Roger Kumble,8,2.6,3458,30-04-2010
G-Force,119436770,287389685,82500000,24-Jul-09,PG,Walt Disney Pictures,Original Screenplay,Adventure,Kids Fiction,,22,5.0,9633,24-07-2009
G.I. Joe: The Rise of Cobra,150201498,302469019,175000000,7-Aug-09,PG-13,Paramount Pictures,Based on Toy,Action,Contemporary Fiction,Stephen Sommers,0,5.8,47052,07-08-2009
G.I.Jane,48169156,48169156,50000000,22-Aug-97,R,Walt Disney Pictures,Original Screenplay,Drama,Contemporary Fiction,Ridley Scott,0,5.5,23807,22-08-1997
Gabriela,2335352,2335352,50000,16-Mar-01,R,Power Point Films,Original Screenplay,Drama,Contemporary Fiction,,0,5.5,1399,16-03-2001
Gake no ue no Ponyo,15090399,199090399,34000000,14-Aug-09,G,Walt Disney Pictures,Original Screenplay,Adventure,Kids Fiction,,0,7.8,13821,14-08-2009
Galaxy Quest,71423726,90523726,45000000,25-Dec-99,PG,Dreamworks SKG,Original Screenplay,Comedy,Science Fiction,,89,7.2,52507,25-12-1999
Gallipoli,5732587,5732587,3000000,28-Aug-81,,,,,,Peter Weir,86,7.7,14139,28-08-1981
Gandhi,52767889,52767889,22000000,8-Dec-82,,Sony Pictures,Based on Real Life Events,Drama,Dramatization,Sir Richard Attenborough,85,8.2,50881,08-12-1982
"Gandhi, My Father",240425,1375194,5000000,3-Aug-07,Not Rated,Eros Entertainment,Based on Book/Short Story,Drama,Dramatization,,40,8.1,50881,03-08-2007
Gangs of New York,77730500,190400000,97000000,20-Dec-02,R,Miramax,Original Screenplay,Drama,Historical Fiction,Martin Scorsese,75,7.4,113378,20-12-2002
Garden State,26782316,32381151,2500000,28-Jul-04,R,Fox Searchlight,Original Screenplay,Drama,Contemporary Fiction,Zach Braff,86,7.9,92594,28-07-2004
Garfield,75367693,200802638,50000000,11-Jun-04,PG,20th Century Fox,Based on Comic/Graphic Novel,Comedy,Contemporary Fiction,Peter Hewitt,0,4.8,19870,11-06-2004
Gattaca,12532777,12532777,36000000,24-Oct-97,PG-13,Sony Pictures,Original Screenplay,Drama,Science Fiction,Andrew Niccol,82,7.8,70906,24-10-1997
Gentleman's Agreement,7800000,7800000,2000000,1947-01-01,,,,,,Elia Kazan,83,7.4,4637,01-01-1947
George A. Romero's Land of the Dead,20700082,45900082,15000000,24-Jun-05,R,Universal,Original Screenplay,Horror,Science Fiction,George A. Romero,0,0.0,0,24-06-2005
George A. Romero's Survival of the Dead,101740,101740,4200000,28-May-10,R,Magnolia Pictures,,Horror,,,0,0.0,0,28-05-2010
George Of The Jungle,105263257,174463257,55000000,16-Jul-97,PG,Walt Disney Pictures,Based on TV,Comedy,Kids Fiction,,54,5.3,19685,16-07-1997
George and the Dragon,0,0,32000000,31-Dec-04,PG,,Original Screenplay,,,,0,5.7,1762,31-12-2004
Georgia Rule,18882880,20819601,20000000,11-May-07,R,Universal,Original Screenplay,Drama,Contemporary Fiction,Garry Marshall,17,5.8,10902,11-05-2007
Gerry,254683,254683,7000000,14-Feb-03,R,ThinkFilm,,Drama,,Gus Van Sant,0,6.2,8583,14-02-2003
Get Carter,14967182,19417182,40000000,6-Oct-00,R,Warner Bros.,Remake,Drama,Contemporary Fiction,,12,4.8,14196,06-10-2000
Get Over It,11560259,11560259,10000000,9-Mar-01,PG-13,Miramax,Original Screenplay,Romantic Comedy,Contemporary Fiction,,45,5.5,9350,09-03-2001
Get Real,1152411,1152411,2000000,30-Apr-99,R,Paramount Pictures,Based on Play,Comedy,Contemporary Fiction,,0,7.5,6026,30-04-1999
Get Rich or Die Tryin',30981850,46437122,40000000,9-Nov-05,R,Paramount Pictures,Original Screenplay,Drama,Contemporary Fiction,Jim Sheridan,16,4.0,18126,09-11-2005
Get Shorty,72021008,115021008,30250000,20-Oct-95,R,MGM,Based on Book/Short Story,Comedy,Contemporary Fiction,Barry Sonnenfeld,86,6.9,33364,20-10-1995
Get on the Bus,5691854,5691854,2400000,16-Oct-96,R,Sony Pictures,Based on Real Life Events,Drama,Historical Fiction,Spike Lee,87,6.7,2701,16-10-1996
Gettysburg,10731997,10731997,25000000,8-Oct-93,,New Line,,Drama,,,87,7.6,11215,08-10-1993
Ghost,217631306,517600000,22000000,13-Jul-90,,Paramount Pictures,Original Screenplay,Drama,Fantasy,Jerry Zucker,81,6.9,51125,13-07-1990
Ghost Dog: Way of the Samurai,3330230,6030230,2000000,3-Mar-00,R,Artisan,Original Screenplay,Drama,Contemporary Fiction,Jim Jarmusch,0,0.0,0,03-03-2000
Ghost Rider,115802596,237702596,120000000,16-Feb-07,PG-13,Sony Pictures,Based on Comic/Graphic Novel,Action,Super Hero,Mark Steven Johnson,26,5.2,63235,16-02-2007
Ghost Ship,30113491,68349884,20000000,25-Oct-02,R,Warner Bros.,Original Screenplay,Horror,Contemporary Fiction,,13,5.3,25891,25-10-2002
Ghost Town,13252641,26612350,20000000,19-Sep-08,PG-13,Paramount Pictures,Original Screenplay,Romantic Comedy,Fantasy,David Koepp,85,4.7,310,19-09-2008
Ghost World,6217849,8764007,5500000,20-Jul-01,R,MGM,Based on Comic/Graphic Novel,Comedy,Contemporary Fiction,Terry Zwigoff,92,7.7,42973,20-07-2001
Ghostbusters,238632124,291632124,30000000,8-Jun-84,PG,Sony Pictures,Original Screenplay,Comedy,Science Fiction,Ivan Reitman,0,6.8,358,08-06-1984
Ghosts of Mississippi,13052741,13052741,36000000,20-Dec-96,PG-13,Sony Pictures,Based on Real Life Events,Drama,Dramatization,Rob Reiner,50,6.4,5276,20-12-1996
Gigli,6087542,7266209,54000000,1-Aug-03,R,Sony Pictures,Original Screenplay,Romantic Comedy,Contemporary Fiction,Martin Brest,6,2.4,29031,01-08-2003
Girl 6,4880941,4880941,12000000,22-Mar-96,R,Fox Searchlight,Original Screenplay,Comedy,Contemporary Fiction,Spike Lee,34,4.9,3348,22-03-1996
Girl with a Pearl Earring,11634362,22106210,12000000,12-Dec-03,PG-13,Lionsgate,Based on Book/Short Story,Drama,Historical Fiction,Peter Webber,71,7.1,23493,12-12-2003
"Girl, Interrupted",28871190,28871190,24000000,21-Dec-99,R,Sony Pictures,Based on Real Life Events,Drama,Dramatization,James Mangold,53,0.0,0,21-12-1999
Gladiator,187683805,457683805,103000000,5-May-00,R,Sony Pictures,Original Screenplay,Action,Historical Fiction,Ridley Scott,77,8.3,279512,05-05-2000
Glitter,4273372,4273372,8500000,21-Sep-01,PG-13,20th Century Fox,Original Screenplay,Musical,Contemporary Fiction,Vondie Curtis-Hall,7,2.0,13778,21-09-2001
Gloria,4167493,4967493,30000000,22-Jan-99,R,Sony Pictures,Remake,Drama,Contemporary Fiction,Sidney Lumet,19,4.7,2726,22-01-1999
Glory,26593580,26593580,18000000,14-Dec-89,,Sony Pictures,Based on Book/Short Story,Action,Dramatization,Edward Zwick,93,8.0,56427,14-12-1989
Go!,16875273,28383441,6500000,9-Apr-99,R,Sony Pictures,Original Screenplay,Black Comedy,Contemporary Fiction,Doug Liman,92,0.0,0,09-04-1999
Goal!,4283255,27610873,33000000,12-May-06,PG,Walt Disney Pictures,Original Screenplay,Drama,Contemporary Fiction,,0,6.9,16809,12-05-2006
God's Army,2637726,2652515,300000,10-Mar-00,PG,Excel Entertainment,Original Screenplay,Drama,Contemporary Fiction,,50,6.8,638,10-03-2000
Gods and Generals,12882934,12923936,55000000,21-Feb-03,PG-13,Warner Bros.,,Drama,Historical Fiction,,8,6.0,7437,21-02-2003
Gods and Monsters,6451628,6451628,3500000,6-Nov-98,R,Lionsgate,Based on Book/Short Story,Drama,Historical Fiction,Bill Condon,96,7.5,15946,06-11-1998
Godsend,14334645,16910708,30000000,30-Apr-04,PG-13,Lionsgate,Original Screenplay,Thriller/Suspense,Science Fiction,,4,4.7,13866,30-04-2004
Godzilla,136314294,376000000,125000000,19-May-98,PG-13,Sony Pictures,Remake,Action,Science Fiction,Roland Emmerich,25,4.8,59455,19-05-1998
Godzilla 2000,10037390,10037390,1000000,18-Aug-00,PG,Sony Pictures,Remake,Action,Science Fiction,,0,0.0,0,18-08-2000
Goldeneye,106429941,356429941,60000000,17-Nov-95,PG-13,MGM,Based on Book/Short Story,Action,Contemporary Fiction,Martin Campbell,80,7.2,69199,17-11-1995
Goldfinger,51100000,124900000,3000000,22-Dec-64,,MGM,Based on Book/Short Story,Action,,Guy Hamilton,96,7.9,47095,22-12-1964
Gone in 60 Seconds,101643008,232643008,103300000,9-Jun-00,PG-13,,,,,,0,6.4,2940,09-06-2000
Gone with the Wind,198680470,390525192,3900000,15-Dec-39,G,MGM,Based on Book/Short Story,Drama,Historical Fiction,George Cukor,97,8.2,78947,15-12-2039
"Gone, Baby, Gone",20300218,34619699,19000000,19-Oct-07,R,Miramax,Based on Book/Short Story,Drama,Contemporary Fiction,Ben Affleck,0,0.0,0,19-10-2007
Good,27276,27276,16000000,31-Dec-08,R,ThinkFilm,Based on Play,Drama,Historical Fiction,,34,6.2,1926,31-12-2008
Good Boy!,37667746,45312217,17000000,10-Oct-03,PG,MGM,Based on Book/Short Story,Comedy,Kids Fiction,,45,5.0,1961,10-10-2003
Good Dick,28835,28835,200000,10-Oct-08,R,Present Pictures/Morning Knight,Original Screenplay,Drama,Contemporary Fiction,,0,6.4,3004,10-10-2008
Good Luck Chuck,35017297,59183821,25000000,21-Sep-07,R,Lionsgate,Original Screenplay,Romantic Comedy,Contemporary Fiction,,5,5.6,29013,21-09-2007
Good Morning Vietnam,123922370,123922370,13000000,23-Dec-87,,Walt Disney Pictures,Original Screenplay,Comedy,Historical Fiction,Barry Levinson,0,7.2,32609,23-12-1987
Good Night and Good Luck,31501218,54601218,7000000,7-Oct-05,PG,Warner Independent,Based on Real Life Events,Drama,Dramatization,George Clooney,0,7.7,42797,07-10-2005
Good Will Hunting,138433435,225933435,10000000,20-Feb-87,R,Miramax,Original Screenplay,Drama,Contemporary Fiction,Gus Van Sant,97,8.1,150415,20-02-1987
Goodbye Bafana,0,2717302,30000000,14-Dec-07,,Paramount Vantage,Based on Book/Short Story,Drama,Dramatization,Bille August,0,7.0,3631,14-12-2007
"Goodbye, Lenin!",4063859,79316616,6400000,27-Feb-04,R,Sony Pictures Classics,Original Screenplay,Comedy,Contemporary Fiction,,0,3.3,198,27-02-2004
Goodfellas,46743809,46743809,25000000,19-Sep-90,,Warner Bros.,Based on Book/Short Story,Drama,Dramatization,Martin Scorsese,97,8.8,229156,19-09-1990
Gory Gory Hallelujah,12604,12604,425000,21-Jan-05,Not Rated,Indican Pictures,Original Screenplay,Musical,,Sue Corcoran,0,5.2,134,21-01-2005
Gosford Park,41300105,41300105,18000000,26-Dec-01,R,USA Films,Original Screenplay,Comedy,Historical Fiction,Robert Altman,86,7.3,36648,26-12-2001
Gossip,5108820,12591270,14000000,21-Apr-00,R,Warner Bros.,Original Screenplay,Drama,Contemporary Fiction,,28,0.0,0,21-04-2000
Gracie,2956339,3036736,9000000,1-Jun-07,PG-13,Picturehouse,Based on Real Life Events,Drama,Dramatization,,59,6.2,2084,01-06-2007
Graduation Day,23894000,23894000,250000,1-May-81,,,,Thriller/Suspense,,,0,3.0,836,01-05-1981
Grease,305260,206005260,6000000,16-Jun-78,PG,Paramount Pictures,Based on Musical/Opera,Musical,Historical Fiction,Randal Kleiser,83,7.0,60146,16-06-1978
Green Zone,35053660,84788541,100000000,12-Mar-10,R,Universal,Based on Factual Book/Article,Drama,Historical Fiction,Paul Greengrass,55,7.1,26759,12-03-2010
Gremlins,148168459,148168459,11000000,8-Jun-84,,Warner Bros.,Original Screenplay,Comedy,Fantasy,Joe Dante,78,7.0,42163,08-06-1984
Gremlins 2: The New Batch,41476097,41476097,50000000,15-Jun-90,,Warner Bros.,Original Screenplay,Comedy,Fantasy,Joe Dante,0,6.1,22712,15-06-1990
Gridiron Gang,38432823,41480851,30000000,15-Sep-06,PG-13,Sony Pictures,Based on Real Life Events,Drama,Dramatization,Phil Joanou,41,6.8,12400,15-09-2006
Grindhouse,25031037,50187789,53000000,6-Apr-07,R,Weinstein/Dimension,Original Screenplay,Horror,Fantasy,Robert Rodriguez,0,7.9,82770,06-04-2007
Grip: A Criminal's Story,1336,1336,12000,28-Apr-06,Not Rated,JeTi Films,Original Screenplay,Action,Contemporary Fiction,,0,0.0,0,28-04-2006
Groove,1115313,1167524,500000,9-Jun-00,R,Sony Pictures Classics,Original Screenplay,Comedy,Contemporary Fiction,,56,5.8,2486,09-06-2000
Grosse Point Blank,28084357,28084357,15000000,11-Apr-97,R,Walt Disney Pictures,Original Screenplay,Black Comedy,Contemporary Fiction,,0,7.4,41523,11-04-1997
Groundhog Day,70906973,70906973,14600000,12-Feb-93,PG,Sony/Columbia,Original Screenplay,Comedy,Fantasy,Harold Ramis,96,8.2,134964,12-02-1993
Grown Ups,161094625,250294625,75000000,25-Jun-10,PG-13,Sony Pictures,Original Screenplay,Comedy,Contemporary Fiction,,9,5.8,13488,25-06-2010
Guess Who,68915888,102115888,35000000,25-Mar-05,PG-13,Sony Pictures,Remake,Comedy,Contemporary Fiction,,43,5.7,15789,25-03-2005
Guiana 1838,227241,227241,1000000,24-Sep-04,Not Rated,RBC Radio,Based on Real Life Events,Drama,Dramatization,,0,0.0,0,24-09-2004
Gun Shy,1638202,1638202,10000000,4-Feb-00,R,Walt Disney Pictures,Original Screenplay,Comedy,Contemporary Fiction,,24,5.4,3607,04-02-2000
Gwoemul,2201923,89006691,12000000,9-Mar-07,R,Magnolia Pictures,Original Screenplay,Action,Science Fiction,,0,7.1,26783,09-03-2007
Haakon Haakonsen,15024232,15024232,8500000,1-Mar-91,,Walt Disney Pictures,Based on Book/Short Story,Adventure,Historical Fiction,,0,6.4,1125,01-03-1991
Hairspray,118823091,202823091,75000000,20-Jul-07,PG,New Line,Remake,Musical,Historical Fiction,Adam Shankman,91,7.2,41511,20-07-2007
Half Baked,17394881,17394881,8000000,16-Jan-98,R,Universal,Original Screenplay,Comedy,Contemporary Fiction,,29,6.3,18791,16-01-1998
Half Past Dead,15567860,19233280,25000000,15-Nov-02,PG-13,Sony Pictures,Original Screenplay,Action,Contemporary Fiction,,2,4.1,6909,15-11-2002
Halloween,47000000,70000000,325000,17-Oct-78,,,,Horror,,John Carpenter,93,6.0,39866,17-10-1978
Halloween 2,33392973,38512850,15000000,28-Aug-09,R,Weinstein/Dimension,,Horror,Fantasy,Rob Zombie,0,4.5,9284,28-08-2009
Halloween 3: Season of the Witch,14400000,14400000,2500000,22-Oct-82,,Universal,,Horror,Contemporary Fiction,,0,3.8,12644,22-10-1982
Halloween 4: The Return of Michael Myers,17768757,17768757,5000000,1-Oct-88,,Universal,,Horror,Fantasy,Dwight H. Little,23,5.6,11079,01-10-1988
Halloween 5: The Revenge of Michael Myers,11642254,11642254,6000000,13-Oct-89,,Galaxy International Releasing,,Horror,Fantasy,,14,0.0,0,13-10-1989
Halloween II,25533818,25533818,2500000,30-Oct-81,,Universal,,Horror,Contemporary Fiction,Rick Rosenthal,27,4.9,12197,30-10-1981
Halloween: H2O,55041738,55041738,17000000,5-Aug-98,R,Miramax,,Horror,Contemporary Fiction,Steve Miner,0,0.0,0,05-08-1998
Halloween: Resurrection,30259652,37659652,15000000,12-Jul-02,R,Miramax/Dimension,,Horror,Contemporary Fiction,Rick Rosenthal,0,3.9,13181,12-07-2002
Halloween:The Curse of Michael Myers,15126948,15126948,5000000,29-Sep-95,R,Miramax,,Horror,Contemporary Fiction,,0,4.4,8576,29-09-1995
Hamlet,4501094,7129670,18000000,25-Dec-96,PG-13,Sony Pictures,Based on Play,Drama,Historical Fiction,,94,6.0,5147,25-12-1996
Hamlet 2,4886216,4898285,9000000,22-Aug-08,R,Focus Features,Original Screenplay,Comedy,Contemporary Fiction,Andrew Fleming,64,6.4,9017,22-08-2008
Hancock,227946274,624346274,150000000,2-Jul-08,PG-13,Sony Pictures,Original Screenplay,Action,Super Hero,Peter Berg,40,6.5,100822,02-07-2008
Hang 'em High,6800000,6800000,1800000,3-Aug-68,,United Artists,Original Screenplay,Western,Historical Fiction,,93,6.9,10292,03-08-1968
Hanging Up,36037909,51867723,40000000,18-Feb-00,PG-13,Sony Pictures,Original Screenplay,Comedy,Contemporary Fiction,,12,4.3,6098,18-02-2000
Hannah Montana/Miley Cyrus: Best of Both Worlds Concert Tour,65281781,71281781,6500000,1-Feb-08,G,Walt Disney Pictures,Based on Real Life Events,Concert/Performance,Factual,,71,0.0,0,01-02-2008
Hannibal,165092266,350100280,87000000,9-Feb-01,R,MGM,Based on Book/Short Story,Horror,Contemporary Fiction,Ridley Scott,39,6.4,74862,09-02-2001
Hannibal Rising,27669725,80583311,50000000,9-Feb-07,R,Weinstein Co.,Based on Book/Short Story,Thriller/Suspense,Historical Fiction,Peter Webber,15,6.0,28690,09-02-2007
Hannibal the Conqueror,0,0,50000000,,,Sony Pictures,Based on Book/Short Story,,Dramatization,Vin Diesel,0,0.0,0,
Happily N'Ever After,15849032,38344430,47000000,5-Jan-07,PG,Lionsgate,Original Screenplay,Comedy,Kids Fiction,,0,3.9,4678,05-01-2007
Happiness,2746453,5746453,3000000,16-Oct-98,Not Rated,Good Machine Releasing,Original Screenplay,Comedy,Contemporary Fiction,Todd Solondz,84,6.5,64,16-10-1998
Happy Feet,198000317,385000317,85000000,17-Nov-06,PG,Warner Bros.,Original Screenplay,Adventure,Kids Fiction,George Miller,74,6.7,42369,17-11-2006
Happy Gilmore,38623460,38623460,10000000,16-Feb-96,PG-13,Universal,Original Screenplay,Comedy,Contemporary Fiction,Dennis Dugan,58,6.9,54111,16-02-1996
"Happy, Texas",2039192,2039192,1700000,1-Oct-99,PG-13,Miramax,Original Screenplay,Comedy,Contemporary Fiction,,82,7.5,198,01-10-1999
Hard Candy,1024640,1881243,950000,14-Apr-06,R,Lionsgate,Original Screenplay,Horror,Contemporary Fiction,,0,7.2,45791,14-04-2006
Hard Rain,19870567,19870567,70000000,16-Jan-98,R,Paramount Pictures,Original Screenplay,Action,Contemporary Fiction,,26,5.6,14375,16-01-1998
Hardball,40222729,44102389,21000000,14-Sep-01,PG-13,Paramount Pictures,Based on Book/Short Story,Drama,Contemporary Fiction,Brian Robbins,38,4.1,165,14-09-2001
Harley Davidson and the Marlboro Man,7018525,7018525,23000000,23-Aug-91,,MGM,Original Screenplay,Action,Science Fiction,Simon Wincer,27,5.3,6995,23-08-1991
Harold & Kumar Escape from Guantanamo Bay,38108728,43231984,12000000,25-Apr-08,R,Warner Bros.,Original Screenplay,Comedy,Contemporary Fiction,,54,6.7,42358,25-04-2008
Harold & Kumar Go to White Castle,18225165,18225165,9000000,30-Jul-04,R,New Line,Original Screenplay,Comedy,Contemporary Fiction,,74,7.2,56030,30-07-2004
Harper,12000000,12000000,3500000,23-Feb-66,,,,,,,0,7.0,2395,23-02-1966
Harriet the Spy,26570048,26570048,13000000,10-Jul-96,PG,Paramount Pictures,Based on Book/Short Story,Adventure,Kids Fiction,,45,5.8,2963,10-07-1996
Harry Brown,1818681,6294140,7300000,30-Apr-10,R,Samuel Goldwyn Films,,Thriller/Suspense,,,0,7.4,14297,30-04-2010
Harry Potter and the Chamber of Secrets,261987880,878987880,100000000,15-Nov-02,PG,Warner Bros.,Based on Book/Short Story,Adventure,Fantasy,Chris Columbus,82,7.2,120063,15-11-2002
Harry Potter and the Goblet of Fire,290013036,896013036,150000000,18-Nov-05,PG-13,Warner Bros.,Based on Book/Short Story,Adventure,Fantasy,Mike Newell,88,7.6,111946,18-11-2005
Harry Potter and the Half-Blood Prince,301959197,937499905,250000000,15-Jul-09,PG,Warner Bros.,Based on Book/Short Story,Adventure,Fantasy,David Yates,83,7.3,73720,15-07-2009
Harry Potter and the Order of the Phoenix,292004738,938468864,150000000,11-Jul-07,PG-13,Warner Bros.,Based on Book/Short Story,Adventure,Fantasy,David Yates,78,7.4,104074,11-07-2007
Harry Potter and the Prisoner of Azkaban,249538952,795538952,130000000,4-Jun-04,PG,Warner Bros.,Based on Book/Short Story,Adventure,Fantasy,Alfonso Cuaron,90,7.7,108928,04-06-2004
Harry Potter and the Sorcerer's Stone,317557891,976457891,125000000,16-Nov-01,PG,Warner Bros.,Based on Book/Short Story,Adventure,Fantasy,Chris Columbus,0,7.2,132238,16-11-2001
Harsh Times,3337931,5963961,2000000,10-Nov-06,R,MGM,Original Screenplay,Drama,Contemporary Fiction,,48,7.0,26347,10-11-2006
Hart's War,19076815,33076815,70000000,15-Feb-02,R,MGM,Based on Book/Short Story,Drama,Historical Fiction,,58,6.2,19541,15-02-2002
Harvard Man,56653,56653,5500000,17-May-02,R,,,Drama,,,0,4.9,2758,17-05-2002
Hav Plenty,2301777,2301777,650000,19-Jun-98,R,Miramax,Original Screenplay,Comedy,Contemporary Fiction,,0,5.6,580,19-06-1998
Hawaii,34562222,34562222,15000000,10-Oct-66,,MGM,,,,George Roy Hill,0,6.4,1153,10-10-1966
He Got Game,21567853,21567853,25000000,1-May-98,R,Walt Disney Pictures,Original Screenplay,Drama,Contemporary Fiction,Spike Lee,80,6.8,14494,01-05-1998
Head Over Heels,10397365,10397365,14000000,2-Feb-01,PG-13,Universal,Original Screenplay,Romantic Comedy,Contemporary Fiction,Mark Waters,9,4.8,6574,02-02-2001
Head of State,37788228,38283765,35200000,28-Mar-03,PG-13,Dreamworks SKG,Original Screenplay,Comedy,Contemporary Fiction,Chris Rock,30,5.1,8447,28-03-2003
Heartbeeps,6000000,6000000,10000000,18-Dec-81,,Universal,Original Screenplay,Comedy,Science Fiction,,0,4.1,620,18-12-1981
Heartbreakers,40334024,57753825,38000000,23-Mar-01,PG-13,MGM,Original Screenplay,Comedy,Contemporary Fiction,,52,6.2,20962,23-03-2001
Hearts in Atlantis,24185781,30885781,31000000,28-Sep-01,PG-13,Warner Bros.,Based on Book/Short Story,Drama,Fantasy,,49,6.8,16336,28-09-2001
Heaven's Gate,3484331,3484331,44000000,19-Nov-80,,,,,,Michael Cimino,0,6.5,4649,19-11-1980
Heavy Metal,19571091,19571091,9300000,7-Aug-81,,Sony/Columbia,Based on Comic/Graphic Novel,Adventure,Science Fiction,,60,6.0,45,07-08-1981
Hedwig and the Angry Inch,3067312,3643900,6000000,20-Jul-01,R,Fine Line,Based on Musical/Opera,Musical,Contemporary Fiction,,92,7.6,14766,20-07-2001
Heist,23483357,28483168,35000000,9-Nov-01,R,New Line,Original Screenplay,Action,Contemporary Fiction,David Mamet,66,3.2,77,09-11-2001
Held Up,4714090,4714090,8000000,12-May-00,PG-13,Trimark,Original Screenplay,Comedy,Contemporary Fiction,,17,4.7,1840,12-05-2000
Hell's Angels,,,4000000,1930-01-01,,,,,,,90,7.9,2050,01-01-1930
Hellboy,59623958,99823958,60000000,2-Apr-04,PG-13,Sony Pictures,Based on Comic/Graphic Novel,Action,Super Hero,Guillermo Del Toro,81,6.8,67763,02-04-2004
Hellboy 2: The Golden Army,75986503,160388063,82500000,11-Jul-08,PG-13,Universal,Based on Comic/Graphic Novel,Action,Super Hero,Guillermo Del Toro,0,7.3,61902,11-07-2008
"Hello, Dolly",33208099,33208099,24000000,16-Dec-69,,,,,,,0,4.4,254,16-12-1969
Hellraiser,14564000,14564000,1000000,18-Sep-87,,New World,Based on Book/Short Story,Horror,Fantasy,,63,7.0,22442,18-09-1987
Henry V,10161099,10161099,9000000,8-Nov-89,PG-13,Goldwyn Entertainment,Based on Play,Action,Historical Fiction,Kenneth Branagh,100,7.9,14499,08-11-1989
Herbie: Fully Loaded,66010682,144110682,50000000,22-Jun-05,G,Walt Disney Pictures,,Comedy,Kids Fiction,Angela Robinson,42,4.7,14178,22-06-2005
Hercules,99112101,250700000,70000000,15-Jun-97,G,Walt Disney Pictures,Based on Book/Short Story,Adventure,Historical Fiction,,84,6.8,21902,15-06-1997
Here on Earth,10494147,10845127,15000000,24-Mar-00,PG-13,20th Century Fox,Original Screenplay,Drama,Contemporary Fiction,,18,4.6,4929,24-03-2000
